type,region,group,No,Yes
Overall,Inland Empire,Overall,0.88,0.12
Overall,Los Angeles County,Overall,0.9,0.1
Overall,Rest of SoCal,Overall,0.9,0.1
Overall,State of CA,Overall,0.89,0.11
Race,Inland Empire,Hispanic,0.88,0.12
Race,Inland Empire,White,0.88,0.12
Race,Los Angeles County,White,0.88,0.12
Race,Los Angeles County,Black,0.89,0.11
Race,Los Angeles County,Hispanic,0.9,0.1
Race,Los Angeles County,Asian,0.95,0.05
Race,Rest of SoCal,White,0.87,0.13
Race,Rest of SoCal,Black,0.89,0.11
Race,Rest of SoCal,Hispanic,0.9,0.1
Race,Rest of SoCal,Asian,0.95,0.05
Race,State of CA,White,0.87,0.13
Race,State of CA,Black,0.89,0.11
Race,State of CA,Hispanic,0.9,0.1
Race,State of CA,Asian,0.94,0.06
Gender,Inland Empire,Female,0.88,0.12
Gender,Inland Empire,Male,0.89,0.11
Gender,Los Angeles County,Female,0.9,0.1
Gender,Los Angeles County,Male,0.91,0.09
Gender,Rest of SoCal,Female,0.89,0.11
Gender,Rest of SoCal,Male,0.91,0.09
Gender,State of CA,Female,0.88,0.12
Gender,State of CA,Male,0.91,0.09
Age Group,Inland Empire,35-49,0.86,0.14
Age Group,Inland Empire,50-64,0.86,0.14
Age Group,Inland Empire,65+,0.91,0.09
Age Group,Inland Empire,18-34,0.92,0.08
Age Group,Los Angeles County,65+,0.88,0.12
Age Group,Los Angeles County,35-49,0.9,0.1
Age Group,Los Angeles County,50-64,0.9,0.1
Age Group,Los Angeles County,18-34,0.93,0.07
Age Group,Rest of SoCal,35-49,0.88,0.12
Age Group,Rest of SoCal,50-64,0.88,0.12
Age Group,Rest of SoCal,65+,0.89,0.11
Age Group,Rest of SoCal,18-34,0.94,0.06
Age Group,State of CA,35-49,0.87,0.13
Age Group,State of CA,50-64,0.87,0.13
Age Group,State of CA,65+,0.89,0.11
Age Group,State of CA,18-34,0.93,0.07
Education,Inland Empire,4-Year College or Higher,0.84,0.16
Education,Inland Empire,Some College or AA,0.89,0.11
Education,Inland Empire,HS or Less,0.9,0.1
Education,Los Angeles County,4-Year College or Higher,0.88,0.12
Education,Los Angeles County,Some College or AA,0.9,0.1
Education,Los Angeles County,HS or Less,0.92,0.08
Education,Rest of SoCal,4-Year College or Higher,0.87,0.13
Education,Rest of SoCal,Some College or AA,0.89,0.11
Education,Rest of SoCal,HS or Less,0.93,0.07
Education,State of CA,4-Year College or Higher,0.84,0.16
Education,State of CA,Some College or AA,0.89,0.11
Education,State of CA,HS or Less,0.93,0.07
