type,region,group,No,Yes
Overall,Inland Empire,Overall,0.79,0.21
Overall,Rest of California,Overall,0.76,0.24
Overall,Rest of SoCal,Overall,0.76,0.24
Overall,SoCal,Overall,0.77,0.23
Overall,State of CA,Overall,0.76,0.24
Race,Inland Empire,Asian,0.57,0.43
Race,Inland Empire,White,0.72,0.28
Race,Inland Empire,Black,0.78,0.22
Race,Inland Empire,Hispanic,0.87,0.13
Race,Rest of California,White,0.7,0.3
Race,Rest of California,Asian,0.8,0.2
Race,Rest of California,Black,0.82,0.18
Race,Rest of California,Hispanic,0.85,0.15
Race,Rest of SoCal,White,0.69,0.31
Race,Rest of SoCal,Asian,0.8,0.2
Race,Rest of SoCal,Black,0.8,0.2
Race,Rest of SoCal,Hispanic,0.84,0.16
Race,SoCal,White,0.69,0.31
Race,SoCal,Asian,0.78,0.22
Race,SoCal,Black,0.79,0.21
Race,SoCal,Hispanic,0.85,0.15
Race,State of CA,White,0.7,0.3
Race,State of CA,Asian,0.79,0.21
Race,State of CA,Black,0.8,0.2
Race,State of CA,Hispanic,0.85,0.15
Gender,Inland Empire,Female,0.78,0.22
Gender,Inland Empire,Male,0.79,0.21
Gender,Rest of California,Female,0.71,0.29
Gender,Rest of California,Male,0.81,0.19
Gender,Rest of SoCal,Female,0.73,0.27
Gender,Rest of SoCal,Male,0.8,0.2
Gender,SoCal,Female,0.75,0.25
Gender,SoCal,Male,0.8,0.2
Gender,State of CA,Female,0.73,0.27
Gender,State of CA,Male,0.8,0.2
Age Group,Inland Empire,65+,0.66,0.34
Age Group,Inland Empire,50-64,0.74,0.26
Age Group,Inland Empire,35-49,0.8,0.2
Age Group,Inland Empire,18-34,0.87,0.13
Age Group,Rest of California,50-64,0.71,0.29
Age Group,Rest of California,35-49,0.76,0.24
Age Group,Rest of California,65+,0.76,0.24
Age Group,Rest of California,18-34,0.79,0.21
Age Group,Rest of SoCal,50-64,0.73,0.27
Age Group,Rest of SoCal,35-49,0.74,0.26
Age Group,Rest of SoCal,65+,0.77,0.23
Age Group,Rest of SoCal,18-34,0.82,0.18
Age Group,SoCal,50-64,0.73,0.27
Age Group,SoCal,35-49,0.75,0.25
Age Group,SoCal,65+,0.76,0.24
Age Group,SoCal,18-34,0.84,0.16
Age Group,State of CA,50-64,0.72,0.28
Age Group,State of CA,35-49,0.76,0.24
Age Group,State of CA,65+,0.76,0.24
Age Group,State of CA,18-34,0.82,0.18
Education,Inland Empire,4-Year College or Higher,0.66,0.34
Education,Inland Empire,Some College or AA,0.73,0.27
Education,Inland Empire,HS or Less,0.88,0.12
Education,Rest of California,4-Year College or Higher,0.61,0.39
Education,Rest of California,Some College or AA,0.76,0.24
Education,Rest of California,HS or Less,0.91,0.09
Education,Rest of SoCal,4-Year College or Higher,0.64,0.36
Education,Rest of SoCal,Some College or AA,0.76,0.24
Education,Rest of SoCal,HS or Less,0.89,0.11
Education,SoCal,4-Year College or Higher,0.65,0.35
Education,SoCal,Some College or AA,0.75,0.25
Education,SoCal,HS or Less,0.89,0.11
Education,State of CA,4-Year College or Higher,0.63,0.37
Education,State of CA,Some College or AA,0.76,0.24
Education,State of CA,HS or Less,0.9,0.1
